                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                  0.766,                0.95951,                 1.0355,                0.99816,                      1,                  0.995,                 0.8506,                 0.7495,                 1.0271,                0.94036,             0.00042605,             0.00042605,             0.00042605
                     55,                0.76121,                0.87959,                 1.0009,                0.97128,                      1,                0.99381,                0.85878,                0.69892,                 1.0321,                0.92049,             0.00042511,             0.00042511,             0.00042511
                     56,                 0.7528,                0.94747,                 1.0555,                0.97128,                      1,                0.99381,                0.85878,                0.69892,                 1.0321,                0.92049,             0.00042416,             0.00042416,             0.00042416
                     57,                0.72545,                0.92041,                 1.0321,                 0.9756,                 0.9981,                0.97595,                0.84154,                0.70249,                  1.042,                0.92713,             0.00042322,             0.00042322,             0.00042322
                     58,                0.70655,                0.82208,                0.99932,                0.95052,                0.99279,                 0.9691,                0.83788,                0.68629,                 1.0635,                0.92448,             0.00042228,             0.00042228,             0.00042228
                     59,                0.76747,                0.80921,                 1.0208,                0.95093,                0.98188,                0.95393,                0.83545,                0.64051,                 1.0507,                 0.9007,             0.00042134,             0.00042134,             0.00042134
                     60,                 0.7761,                0.92521,                 1.0997,                0.95093,                0.98188,                0.95393,                0.83545,                0.64051,                 1.0507,                 0.9007,             0.00042039,             0.00042039,             0.00042039
                     61,                 0.7455,                0.86834,                 1.0157,                0.93725,                0.98804,                0.94977,                 0.8216,                0.63249,                 1.0123,                0.88479,             0.00041945,             0.00041945,             0.00041945
                     62,                0.73479,                 0.8984,                0.99201,                0.95211,                0.95943,                0.94977,                 0.8066,                0.64242,                 1.0214,                0.88536,             0.00041851,             0.00041851,             0.00041851
                     63,                0.79137,                0.86375,                 1.0219,                0.93643,                0.99178,                0.97131,                0.84836,                0.59687,                0.99769,                0.86843,             0.00041757,             0.00041757,             0.00041757
                     64,                0.70104,                0.86932,                0.97797,                0.93643,                0.99178,                0.97131,                0.84836,                0.59687,                0.99769,                0.86843,             0.00041662,             0.00041662,             0.00041662
                     65,                 0.6639,                0.80715,                0.96646,                0.95608,                0.99623,                0.97357,                0.86429,                0.56676,                 0.9551,                0.86478,             0.00041568,             0.00041568,             0.00041568
                     66,                0.70007,                 0.8469,                0.96653,                0.95913,                0.99798,                0.99381,                0.87264,                0.60716,                0.91872,                0.88298,             0.00041474,             0.00041474,             0.00041474
                     67,                0.78004,                0.85299,                 1.0566,                0.98285,                0.99819,                  0.995,                0.86209,                0.65462,                0.89486,                0.90044,              0.0004138,              0.0004138,              0.0004138
                     68,                0.74579,                0.86536,                 1.0611,                0.98285,                0.99819,                  0.995,                0.86209,                0.65462,                0.89486,                0.90044,             0.00041285,             0.00041285,             0.00041285
                     69,                0.59416,                0.77347,                0.94259,                0.99691,                      1,                  0.995,                 0.8435,                0.70788,                0.86106,                0.91834,             0.00041191,             0.00041191,             0.00041191
                     70,                0.73299,                0.83325,                 1.0603,                0.99519,                      1,                  0.995,                0.86106,                0.66185,                0.80739,                0.89086,             0.00041097,             0.00041097,             0.00041097
                     71,                0.70225,                0.85388,                0.97523,                0.99395,                      1,                  0.995,                 0.8789,                0.60631,                0.79813,                0.86791,             0.00041003,             0.00041003,             0.00041003
                     72,                0.70909,                  0.876,                 1.0358,                0.99395,                      1,                  0.995,                 0.8789,                0.60631,                0.79813,                0.86791,             0.00040908,             0.00040908,             0.00040908
                     73,                0.65222,                0.79848,                0.97074,                0.99292,                      1,                  0.995,                0.88195,                0.60375,                0.81588,                0.86966,             0.00040814,             0.00040814,             0.00040814
                     74,                0.69542,                0.77397,                 1.0019,                0.99453,                      1,                  0.995,                0.88289,                0.58343,                0.77881,                0.85877,              0.0004072,              0.0004072,              0.0004072
